UK SPECTRUM FREQUENCIES BAND USE (1 kHz - 80 GHz) 2019


9 kHz - 148 kHz Licence Exempt, Metal Detectors
26957 kHz - 27283 kHz - Licence Exempt, Non-Specific Short Range Device
26960 kHz - 27280 kHz - Licence Exempt, Model Control

26960 kHz - 27410 kHz - Licence Exempt, Citizens Band Radio

Citizens Band Radio (EU)
26.965 Channel 01    26.975 Channel 02
26.985 Channel 03    27.005 Channel 04
27.015 Channel 05    27.025 Channel 06
27.035 Channel 07    27.055 Channel 08
27.065 Channel 09    27.075 Channel 10
27.085 Channel 11    27.105 Channel 12
27.115 Channel 13    27.125 Channel 14
27.135 Channel 15    27.155 Channel 16
27.165 Channel 17    27.175 Channel 18
27.185 Channel 19    27.205 Channel 20
27.215 Channel 21    27.225 Channel 22
27.255 Channel 23    27.235 Channel 24
27.245 Channel 25    27.265 Channel 26
27.275 Channel 27    27.285 Channel 28
27.295 Channel 29    27.305 Channel 30
27.315 Channel 31    27.325 Channel 32
27.335 Channel 33    27.345 Channel 34
27.355 Channel 35    27.365 Channel 36
27.375 Channel 37    27.385 Channel 38
27.395 Channel 39    27.405 Channel 40

27090 kHz - 27100 kHz - Licence Exempt, Railway Applications
27443 kHz - 27456 kHz - Licence Exempt, Social Alarms

27.596 MHz - 27.996 MHz - Licence Exempt, Citizens Band Radio

Citizens Band Radio (UK) 
27.60125 Channel 01     27.61125 Channel 02
27.62125 Channel 03     27.63125 Channel 04
27.64125 Channel 05     27.65125 Channel 06
27.66125 Channel 07     27.67125 Channel 08
27.68125 Channel 09     27.69125 Channel 10
27.70125 Channel 11     27.71125 Channel 12
27.72125 Channel 13     27.73125 Channel 14
27.74125 Channel 15     27.75125 Channel 16
27.76125 Channel 17     27.77125 Channel 18
27.78125 Channel 19     27.79125 Channel 20
27.80125 Channel 21     27.81125 Channel 22
27.82125 Channel 23     27.83125 Channel 24
27.84125 Channel 25     27.85125 Channel 26
27.86125 Channel 27     27.87125 Channel 28
27.88125 Channel 29     27.89125 Channel 30
27.90125 Channel 31     27.91125 Channel 32
27.92125 Channel 33     27.93125 Channel 34
27.94125 Channel 35     27.95125 Channel 36
27.96125 Channel 37     27.97125 Channel 38
27.98125 Channel 39     27.99125 Channel 40

28 MHz - 28.190 MHz - Amateur Radio, Amateur Radio Intermediate Licence
28 MHz - 29.700 MHz - Amateur Radio, Amateur Radio Foundation Licence
28 MHz - 29.700 MHz - Amateur Radio, Amateur Radio Full Licence
28 MHz - 29.700 MHz - Amateur Radio, Amateur Radio Intermediate Licence
30 MHz - 37.500 MHz - Licence Exempt, Active Medical Implants

31.037 MHz - 31.212 MHz - Licence Exempt, Cordless Telephones (CT1; extended CT1; CT2 and DECT)

Cordless Telephones
31.0375	 39.9375 CH.1
31.0625	 39.9625 CH.2
31.0875	 39.9875 CH.3
31.1125	 40.0125 CH.4
31.1375	 40.0375 CH.5
31.1625	 40.0625 CH.6
31.1875	 40.0875 CH.7
31.2125	 40.1125 CH.8

34.500 MHz - 34.995 MHz - Licence Exempt, Databuoy Telemetry
34.918 MHz - 34.931 MHz - Licence Exempt, Social Alarms
34.943 MHz - 34.956 MHz - Licence Exempt, Social Alarms
34.945 MHz - 35.305 MHz - Licence Exempt, Model Control
34.968 MHz - 34.981 MHz - Licence Exempt, Social Alarms
35.225 MHz - 35.500 MHz - Licence Exempt, Databuoy Telemetry
36.610 MHz - 36.790 MHz - Licence Exempt, Wireless audio/multimedia
37.010 MHz - 37.190 MHz - Licence Exempt, Wireless audio/multimedia

37.750 MHz - 38.250 MHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)

39.025 MHz - 39.025 MHz - Licence Exempt, Meteor Burst Data Systems
39.050 MHz - 39.050 MHz - Licence Exempt, Meteor Burst Data Systems

39.937 MHz - 40.112 MHz - Licence Exempt, Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT)

40.660 MHz - 40.700 MHz - Licence Exempt, Non-Specific Short Range Device
40.660 MHz - 41.000 MHz - Licence Exempt, Model Control
46.400 MHz - 46.400 MHz - Licence Exempt, Meteor Burst Data Systems
46.950 MHz - 46.950 MHz - Licence Exempt, Meteor Burst Data Systems
46.975 MHz - 46.975 MHz - Licence Exempt, Meteor Burst Data Systems
47.400 MHz - 47.400 MHz - Licence Exempt, Vehicle Paging Alarms
47.418 MHz - 47.431 MHz - Licence Exempt, Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT)
47.443 MHz - 47.543 MHz - Licence Exempt, Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT)

47.550 MHz - 48.800 MHz - Programme Making and Special Events, Audio Distribution System
47.550 MHz - 48.800 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
47.550 MHz - 48.800 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
47.550 MHz - 48.800 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

48.9750 MHz - Radio Paging Hire
48.9875 MHz - Radio Paging Hire

48.968 MHz - 48.981 MHz - Business Radio, Business Radio (Suppliers Light)
48.981 MHz - 48.993 MHz - Business Radio, Business Radio (Suppliers Light)
48.993 MHz - 49.006 MHz - Business Radio, Business Radio (Simple Site)
49.000 MHz - 49.500 MHz - Business Radio, Business Radio (Simple Site)
49.006 MHz - 49.018 MHz - Business Radio, Business Radio (Simple Site)
49.018 MHz - 49.031 MHz - Business Radio, Business Radio (Simple Site)
49.031 MHz - 49.043 MHz - Business Radio, Business Radio (Simple Site)
49.043 MHz - 49.056 MHz - Business Radio, Business Radio (Simple Site)
49.056 MHz - 49.068 MHz - Business Radio, Business Radio (Simple Site)
49.068 MHz - 49.081 MHz - Business Radio, Business Radio (Simple Site)
49.081 MHz - 49.093 MHz - Business Radio, Business Radio (Simple Site)
49.093 MHz - 49.106 MHz - Business Radio, Business Radio (Simple Site)
49.106 MHz - 49.118 MHz - Business Radio, Business Radio (Simple Site)
49.118 MHz - 49.131 MHz - Business Radio, Business Radio (Simple Site)
49.131 MHz - 49.143 MHz - Business Radio, Business Radio (Simple Site)
49.143 MHz - 49.156 MHz - Business Radio, Business Radio (Simple Site)
49.156 MHz - 49.168 MHz - Business Radio, Business Radio (Simple Site)
49.168 MHz - 49.181 MHz - Business Radio, Business Radio (Simple Site)
49.181 MHz - 49.193 MHz - Business Radio, Business Radio (Simple Site)

49.820 MHz - 49.980 MHz - Licence Exempt, Non-Specific Short Range Device

50 MHz - 52 MHz - Amateur Radio, Amateur Radio Foundation Licence
50 MHz - 52 MHz - Amateur Radio, Amateur Radio Full Licence
50 MHz - 52 MHz - Amateur Radio, Amateur Radio Intermediate Licence
51 MHz - 52 MHz - Amateur Radio, Amateur Radio Foundation Licence

52.00 MHz - 52.95 MHz - Programme Making and Special Events, Audio Distribution System
52.00 MHz - 52.95 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
52.00 MHz - 52.95 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
52.00 MHz - 52.95 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
53.75 MHz - 55.75 MHz - Programme Making and Special Events, Audio Distribution System
53.75 MHz - 55.75 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
53.75 MHz - 55.75 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
53.75 MHz - 55.75 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

55.00 MHz - 56.00 MHz - Licence Exempt, Common Base Station Systems

55.756 MHz - 60.593 MHz - Business Radio, Business Radio (Area Defined)
55.756 MHz - 60.593 MHz - Business Radio, Business Radio (Technically Assigned)

60.750 MHz - 62.750 MHz - Programme Making and Special Events, Audio Distribution System
60.750 MHz - 62.750 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
60.750 MHz - 62.750 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
60.750 MHz - 62.750 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

62.756 MHz - 67.993 MHz - Business Radio, Business Radio (Area Defined)
62.756 MHz - 67.993 MHz - Business Radio, Business Radio (Technically Assigned)

67.750 MHz - 67.837 MHz - Programme Making and Special Events, Audio Distribution System
67.750 MHz - 67.837 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
67.750 MHz - 67.837 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
67.750 MHz - 67.837 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

68.087 MHz - 69.987 MHz - Business Radio, Business Radio (Area Defined)
68.087 MHz - 69.987 MHz - Business Radio, Business Radio (Technically Assigned)
68.618 MHz - 68.631 MHz - Business Radio, Business Radio (Suppliers Light)

69.156 MHz - 69.181 MHz - Programme Making and Special Events, Audio Distribution System
69.156 MHz - 69.181 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
69.156 MHz - 69.181 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
69.156 MHz - 69.181 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

70 MHz - 70.5 MHz - Amateur Radio, Amateur Radio Foundation Licence
70 MHz - 70.5 MHz - Amateur Radio, Amateur Radio Full Licence
70 MHz - 70.5 MHz - Amateur Radio, Amateur Radio Intermediate Licence

70.5 MHz - 72.787 MHz - Business Radio, Business Radio (Area Defined)
70.5 MHz - 72.787 MHz - Business Radio, Business Radio (Technically Assigned)

72.368 MHz - 72.381 MHz - Business Radio, Business Radio (Suppliers Light)

74.681 MHz - 74.718 MHz - Programme Making and Special Events, Audio Distribution System
74.681 MHz - 74.718 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
74.681 MHz - 74.718 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
74.681 MHz - 74.718 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

74.800 MHz - 75.200 MHz - Aeronautical, Aeronautical Navigation Aid Stations

75.262 MHz - 75.300 MHz - Programme Making and Special Events, Audio Distribution System
75.262 MHz - 75.300 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
75.262 MHz - 75.300 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
75.262 MHz - 75.300 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

76.712 MHz - 77.987 MHz - Business Radio, Business Radio (Area Defined)
76.712 MHz - 77.987 MHz - Business Radio, Business Radio (Technically Assigned)

76.806 MHz - 76.843 MHz - Programme Making and Special Events, Audio Distribution System
76.806 MHz - 76.843 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
76.806 MHz - 76.843 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
76.806 MHz - 76.843 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

77.512 MHz - 77.550 MHz - Licence Exempt, Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT)

77.681 MHz - 77.693 MHz - Business Radio, Business Radio (Simple UK) '77.6875'

78.183 MHz - 78.258 MHz - Programme Making and Special Events, Audio Distribution System 
78.183 MHz - 78.258 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
78.183 MHz - 78.258 MHz - Programme Making and Special Events, Programme Making and Special Events (Link) 
78.183 MHz - 78.258 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

80 MHz - 83.487 MHz - Business Radio, Business Radio (Area Defined)
80 MHz - 83.487 MHz - Business Radio, Business Radio (Technically Assigned)

81 MHz - 87 MHz - Licence Exempt, Common Base Station Systems

82.118 MHz - 82.131 MHz - Business Radio, Business Radio (Suppliers Light) '82.125'

82.656 MHz - 82.681 MHz - Programme Making and Special Events, Audio Distribution System 
82.656 MHz - 82.681 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
82.656 MHz - 82.681 MHz - Programme Making and Special Events, Programme Making and Special Events (Link) 
82.656 MHz - 82.681 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

85.012 MHz - 87.487 MHz - Business Radio, Business Radio (Area Defined)
85.012 MHz - 87.487 MHz - Business Radio, Business Radio (Technically Assigned)
85.868 MHz - 85.881 MHz - Business Radio, Business Radio (Suppliers Light)

86.306 MHz - 86.318 MHz - Business Radio, Business Radio (Police and Fire 'MRT 86.3125')

86.331 MHz - 86.343 MHz - Business Radio, Business Radio (Simple UK) '86.3375'
86.343 MHz - 86.356 MHz - Business Radio, Business Radio (Simple UK) '86.3500'
86.356 MHz - 86.368 MHz - Business Radio, Business Radio (Simple UK) '86.3625'
86.368 MHz - 86.381 MHz - Business Radio, Business Radio (Simple UK) '86.3750'

86.668 MHz - 86.681 MHz - Programme Making and Special Events, Audio Distribution System 
86.668 MHz - 86.681 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site) 
86.668 MHz - 86.681 MHz - Programme Making and Special Events, Programme Making and Special Events (Link) 
86.668 MHz - 86.681 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
86.806 MHz - 86.843 MHz - Programme Making and Special Events, Audio Distribution System 
86.806 MHz - 86.843 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
86.806 MHz - 86.843 MHz - Programme Making and Special Events, Programme Making and Special Events (Link) 
86.806 MHz - 86.843 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

87.5 MHz - 108 MHz - Licence Exempt, High Duty Cycle or Continuous Transmission Devices

87.5 MHz - 108 MHz - Broadcasting Services, Restricted Radio Services Transmission (Class B - Radiating Cable)
87.5 MHz - 108 MHz - Broadcasting Services, Restricted Radio Services Transmission (Class C - Freely Radiating Very Low Power)
87.5 MHz - 108 MHz - Broadcasting Services, Transmission of National and Local Radio Broadcasting Services (FM)

87.5 MHz - 108 MHz - Licence Exempt, Wireless Audio/Multimedia

108.000 MHz - 112 MHz - Aeronautical, Aeronautical Navigation Aid Stations 
108 MHz - 117.975 MHz - Aeronautical, Aeronautical Navigation Aid Stations

117.975 MHz - 137 MHz - Aeronautical, Aeronautical Ground Station (Air Traffic/Ground Movement Control)
117.975 MHz - 137 MHz - Aeronautical, Aeronautical Ground Station (Air/Ground Communications Services)
117.975 MHz - 137 MHz - Aeronautical, Aeronautical Ground Station (Airfield Flight Information Service)
117.975 MHz - 137 MHz - Aeronautical, Aeronautical Ground Station (General Aviation)
117.975 MHz - 137 MHz - Aeronautical, Aeronautical Ground Station (Offshore Platform)
117.975 MHz - 137 MHz - Aeronautical, Aeronautical Ground Station (Operations Control)

117.975 MHz - 137 MHz - Aeronautical, Aeronautical Station (Aeronautical Broadcast)
117.975 MHz - 137 MHz - Aeronautical, Aeronautical Station (Air/Ground, AFIS and Tower)
117.975 MHz - 137 MHz - Aeronautical, Aeronautical Station (Aircraft Communications Addressing and Reporting System)
117.975 MHz - 137 MHz - Aeronautical, Aeronautical Station (Approach)
117.975 MHz - 137 MHz - Aeronautical, Aeronautical Station (Area Control)
117.975 MHz - 137 MHz - Aeronautical, Aeronautical Station (Offshore) 
117.975 MHz - 137 MHz - Aeronautical, Aeronautical Station (Very High Frequency Data Link)

117.975 MHz - 137 MHz - Aeronautical, Aircraft

118.550 MHz - 118.800 MHz - Aeronautical, Aeronautical Station (Recreational Aviation)
118.675 MHz - 118.675 MHz - Aeronautical, Aeronautical Ground Station (General Aviation) (Hang/Para Gliders)

121.487 MHz - 121.512 MHz - Aeronautical, Aircraft

121.494 MHz - 121.506 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
121.494 MHz - 121.506 MHz - Maritime Radio, Ship Portable Radio
121.494 MHz - 121.506 MHz - Maritime Radio, Ship Radio

121.500 MHz - Aircraft Emergency National (AM)

121.587 MHz - 121.612 MHz - Aeronautical, Aeronautical Ground Station (Fire) '121.600'

121.637 MHz - 121.662 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)

122.350 MHz - 122.600 MHz - Aeronautical, Aeronautical Station (Recreational Aviation)
122.475 MHz - 122.475 MHz - Aeronautical, Aeronautical Ground Station (General Aviation) (Balloon)
123.087 MHz - 123.112 MHz - Aeronautical, Aircraft

123.094 MHz - 123.106 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
123.094 MHz - 123.106 MHz - Maritime Radio, Ship Portable Radio
123.094 MHz - 123.106 MHz - Maritime Radio, Ship Radio

129.700 MHz - 130.250 MHz - Aeronautical, Aeronautical Station (Recreational Aviation)
129.825 MHz - 129.825 MHz - Aeronautical, Aeronautical Ground Station (General Aviation) (Microlight)
129.900 MHz - 129.900 MHz - Aeronautical, Aeronautical Ground Station (General Aviation) (Glider)
129.900 MHz - 129.900 MHz - Aeronautical, Aeronautical Ground Station (General Aviation) (Parachute)
129.975 MHz - 129.975 MHz - Aeronautical, Aeronautical Ground Station (General Aviation) (Glider)
130.100 MHz - 130.100 MHz - Aeronautical, Aeronautical Ground Station (General Aviation) (Glider)
130.125 MHz - 130.125 MHz - Aeronautical, Aeronautical Ground Station (General Aviation) (Glider)
130.275 MHz - 130.650 MHz - Aeronautical, Aeronautical Station (Recreational Aviation)
130.400 MHz - 130.400 MHz - Aeronautical, Aeronautical Ground Station (General Aviation) (Glider)
130.525 MHz - 130.525 MHz - Aeronautical, Aeronautical Ground Station (General Aviation) (Parachute)

137 MHz - 138 MHz - Licence Exempt, Land Mobile-Satellite Service Stations

137 MHz - 138 MHz - Satellite Services 	Satellite (Earth Station) (Non-Fixed Satellite Service)

137.962 MHz - 165.043 MHz - Maritime Radio, Coastal Station Radio (UK) Area Defined
137.962 MHz - 165.043 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)

137.975 MHz - 138.200 MHz - Business Radio, Business Radio (Area Defined)
137.975 MHz - 138.200 MHz - Business Radio, Business Radio (Technically Assigned)

138.200 MHz - 138.450 MHz - Licence Exempt, Non-Specific Short Range Device

139.518 MHz - 140.981 MHz - Business Radio, Business Radio (Area Defined)
139.518 MHz - 140.981 MHz - Business Radio, Business Radio (Technically Assigned)

139.543 MHz - 139.556 MHz - Programme Making and Special Events, Audio Distribution System

139.543 MHz - 139.556 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
139.543 MHz - 139.556 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
139.543 MHz - 139.556 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
139.568 MHz - 139.581 MHz - Programme Making and Special Events, Audio Distribution System
139.568 MHz - 139.581 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
139.568 MHz - 139.581 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
139.568 MHz - 139.581 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
139.643 MHz - 139.668 MHz - Programme Making and Special Events, Audio Distribution System
139.643 MHz - 139.668 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
139.643 MHz - 139.668 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
139.643 MHz - 139.668 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
140.987 MHz - 141.487 MHz - Programme Making and Special Events, Audio Distribution System
140.987 MHz - 141.487 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
